SpecieName,MoveRate,VisionRange,DaysSurvived
Specie1,17,7,0
Specie1,13,5,0
Specie1,24,3,0
Specie1,11,5,0
Specie1,22,3,0
Specie1,26,3,0
Specie1,24,9,0
Specie1,24,7,0
Specie1,21,7,0
Specie1,20,11,0
Specie1,14,5,0
Specie1,26,7,0
Specie1,23,9,0
Specie1,24,3,0
Specie1,27,7,0
Specie1,25,5,0
Specie1,20,3,0
Specie1,21,11,0
Specie1,19,3,0
Specie1,12,7,0
Specie1,11,9,0
Specie1,23,3,0
Specie1,18,9,0
Specie1,10,5,0
Specie1,14,3,0
Specie1,27,3,0
Specie1,14,9,0
Specie1,24,3,0
Specie1,29,9,0
Specie1,29,5,0
Specie1,27,9,0
Specie1,23,7,0
Specie1,16,7,0
Specie1,12,11,0
Specie1,16,7,0
Specie1,25,9,0
Specie1,10,7,0
Specie1,12,3,0
Specie1,17,5,0
Specie1,12,3,0
Specie1,11,7,0
Specie1,19,7,0
Specie1,28,5,0
Specie1,21,9,0
Specie1,17,7,0
Specie1,24,7,0
Specie1,20,9,0
Specie1,19,3,0
Specie1,28,11,0
Specie1,27,5,0
Specie1,21,9,0
Specie1,28,5,0
Specie1,19,5,0
Specie1,24,3,0
Specie1,29,7,0
Specie1,27,7,0
Specie1,16,9,0
Specie1,20,5,0
Specie1,21,7,0
Specie1,26,11,0
Specie1,17,3,0
Specie1,16,7,0
Specie1,14,11,0
Specie1,16,5,0
Specie1,15,7,0
Specie1,22,7,0
Specie1,17,7,0
Specie1,25,3,0
Specie1,23,9,0
Specie1,20,5,0
Specie1,13,9,0
Specie1,11,7,1
Specie1,13,7,1
Specie1,11,5,1
Specie1,21,5,1
Specie1,24,5,1
Specie1,13,5,1
Specie1,20,7,1
Specie1,11,11,1
Specie1,17,11,1
Specie1,18,7,1
Specie1,25,3,0
Specie1,11,7,0
Specie1,12,11,2
Specie1,17,3,2
Specie1,21,11,2
Specie1,21,9,1
Specie1,25,7,3
Specie1,22,11,1
Specie1,23,11,0
Specie1,23,11,0
Specie1,16,9,4
Specie1,24,11,0
Specie1,16,9,0
Specie1,23,5,5
Specie1,23,11,5
Specie1,18,9,5
Specie1,23,11,4
Specie1,29,11,1
Specie1,23,11,1
Specie1,26,11,0
Specie1,19,12,0
Specie1,21,11,0
Specie1,29,11,0
Specie1,28,9,6
Specie1,17,11,6
Specie1,23,11,1
Specie1,23,11,0
Specie1,23,11,0
Specie1,26,9,7
Specie1,17,11,5
Specie1,29,11,0
Specie1,19,9,0
Specie1,25,3,8
Specie1,22,11,8
Specie1,21,11,2
Specie1,17,11,1
Specie1,18,6,0
Specie1,23,11,9
Specie1,19,9,9
Specie1,23,11,7
Specie1,28,3,1
Specie1,24,11,1
Specie1,25,11,1
Specie1,17,11,1
Specie1,29,11,0
Specie1,24,11,0
Specie1,23,11,0
Specie1,16,9,0
Specie1,22,11,8
Specie1,22,11,1
Specie1,22,11,0
Specie1,22,9,0
Specie1,29,11,10
Specie1,29,9,9
Specie1,21,11,8
Specie1,21,11,4
Specie1,32,9,2
Specie1,21,11,9
Specie1,22,11,2
Specie1,23,11,2
Specie1,22,9,1
Specie1,22,11,0
Specie1,28,11,0
Specie1,29,11,14
Specie1,23,11,2
Specie1,23,9,1
Specie1,23,11,7
Specie1,21,11,5
Specie1,21,11,4
Specie1,23,9,3
Specie1,23,9,0
Specie1,23,8,0
Specie1,23,9,0
Specie1,22,11,8
Specie1,23,9,2
Specie1,23,10,2
Specie1,23,9,2
Specie1,21,11,1
Specie1,29,11,1
Specie1,23,9,0
Specie1,21,12,0
Specie1,23,9,4
Specie1,29,9,1
Specie1,31,11,1
Specie1,23,9,18
Specie1,21,11,9
Specie1,29,11,7
Specie1,27,11,6
Specie1,29,11,5
Specie1,29,10,4
Specie1,28,11,3
Specie1,29,11,1
Specie1,29,11,0
Specie1,29,11,0
Specie1,24,11,19
Specie1,29,11,5
Specie1,29,9,4
Specie1,29,11,4
Specie1,29,11,3
Specie1,29,11,2
Specie1,30,11,0
Specie1,29,11,0
Specie1,22,9,22
Specie1,29,11,12
Specie1,25,11,7
Specie1,24,11,3
Specie1,24,11,0
Specie1,24,11,5
Specie1,24,11,3
Specie1,24,11,3
Specie1,24,11,2
Specie1,24,11,1
Specie1,24,11,7
Specie1,24,11,4
Specie1,29,11,2
Specie1,24,11,2
Specie1,24,11,1
Specie1,24,11,0
Specie1,24,11,9
Specie1,24,11,1
Specie1,26,11,0
Specie1,24,11,5
Specie1,29,11,3
Specie1,29,11,10
Specie1,24,11,2
Specie1,29,11,1
Specie1,29,11,0
Specie1,29,11,4
Specie1,24,11,3
Specie1,24,11,0
Specie1,24,11,10
Specie1,29,11,2
Specie1,24,11,1
Specie1,29,11,5
Specie1,24,11,4
Specie1,24,11,3
Specie1,24,11,0
Specie1,24,11,0
Specie1,29,11,8
Specie1,29,11,5
Specie1,24,11,2
Specie1,29,11,0
Specie1,24,11,4
Specie1,24,11,2
Specie1,24,10,0
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,12,2
Specie1,24,11,2
Specie1,24,11,1
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,11,0
Specie1,23,11,5
Specie1,24,11,3
Specie1,24,8,0
Specie1,29,11,18
Specie1,24,11,5
Specie1,29,11,4
Specie1,24,11,3
Specie1,23,11,3
Specie1,29,11,1
Specie1,24,11,9
Specie1,24,11,0
Specie1,24,11,0
Specie1,23,11,16
Specie1,29,11,11
Specie1,24,12,9
Specie1,24,11,9
Specie1,24,11,4
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,12,7
Specie1,24,11,3
Specie1,24,11,1
Specie1,24,11,1
Specie1,30,11,16
Specie1,24,11,6
Specie1,24,11,4
Specie1,29,11,4
Specie1,24,11,4
Specie1,24,14,4
Specie1,25,11,3
Specie1,24,11,3
Specie1,24,11,2
Specie1,24,11,1
Specie1,24,11,1
Specie1,24,11,1
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,11,0
Specie1,24,11,2
Specie1,24,11,2
Specie1,24,11,1
Specie1,27,11,1
Specie1,24,11,0
Specie1,24,11,19
Specie1,23,11,1
Specie1,24,11,1
Specie1,24,11,0
Specie1,24,11,3
Specie1,24,11,1
Specie1,24,12,0
Specie1,24,13,2
Specie1,26,11,1
Specie1,24,12,1
Specie1,24,11,1
Specie1,24,10,0
Specie1,24,11,20
Specie1,24,11,14
Specie1,29,11,9
Specie1,24,11,4
Specie1,24,11,1
Specie1,24,11,10
Specie1,24,11,2
Specie1,25,11,1
Specie1,24,11,0
