Day,MoveRate,VisionRange,Colors
0,6.5,15.0,1-0-0-255|1-255-255-0|
1,6.0,14.333333333333334,2-0-0-255|1-255-255-0|
2,5.75,15.0,3-0-0-255|1-255-255-0|
